VOTER,SINGER,SCORE,,,,,,,,
Belarus,Montenegro,0,0,,,,belarus,montenegro,0,"""belarus"": {""montenegro"":0,},"
Belarus,Norway,3,3,,,,belarus,norway,3,"""belarus"": {""norway"":3.2,},"
Belarus,Poland,2,2,,,,belarus,poland,2,"""belarus"": {""poland"":2.3,},"
Belarus,Portugal,0,0,,,,belarus,portugal,0,"""belarus"": {""portugal"":0,},"
Belarus,Romania,1,1,,,,belarus,romania,1,"""belarus"": {""romania"":0.5,},"
Belarus,Russia,11,11,,,,belarus,russia,11,"""belarus"": {""russia"":10.6,},"
Belarus,San Marino,0,0,,,,belarus,san marino,0,"""belarus"": {""san marino"":0,},"
Belarus,Serbia,3,3,,,,belarus,serbia,3,"""belarus"": {""serbia"":2.6,},"
Belarus,Slovenia,1,1,,,,belarus,slovenia,1,"""belarus"": {""slovenia"":1.3,},"
Belarus,Spain,0,0,,,,belarus,spain,0,"""belarus"": {""spain"":0.2,},"
Belarus,Sweden,2,2,,,,belarus,sweden,2,"""belarus"": {""sweden"":1.9,},"
Belarus,Switzerland,3,3,,,,belarus,switzerland,3,"""belarus"": {""switzerland"":2.5,},"
Belarus,The Netherlands,1,1,,,,belarus,the netherlands,1,"""belarus"": {""the netherlands"":0.7,},"
Belarus,Turkey,1,1,,,,belarus,turkey,1,"""belarus"": {""turkey"":1.1,},"
Belarus,U.K.,1,1,,,,belarus,u.k.,1,"""belarus"": {""u.k."":0.5,},"
Belarus,Ukraine,9,9,,,,belarus,ukraine,9,"""belarus"": {""ukraine"":8.7,},"
Belgium,Belgium,-1,-1,,,,belgium,belgium,-1,"""belgium"": {""belgium"":-1,},"
Belgium,Albania,2,2,,,,belgium,albania,2,"""belgium"": {""albania"":2.3,},"
Belgium,Armenia,7,7,,,,belgium,armenia,7,"""belgium"": {""armenia"":6.9,},"
Belgium,Austria,4,4,,,,belgium,austria,4,"""belgium"": {""austria"":3.9,},"
Belgium,Azerbaijan,3,3,,,,belgium,azerbaijan,3,"""belgium"": {""azerbaijan"":3.3,},"
Belgium,Belarus,0,0,,,,belgium,belarus,0,"""belgium"": {""belarus"":0,},"
Belgium,Bosnia & Herzegovina,1,1,,,,belgium,bosnia & herzegovina,1,"""belgium"": {""bosnia & herzegovina"":0.5,},"
Belgium,Bulgaria,4,4,,,,belgium,bulgaria,4,"""belgium"": {""bulgaria"":4,},"
Belgium,Croatia,1,1,,,,belgium,croatia,1,"""belgium"": {""croatia"":1.2,},"
Belgium,Cyprus,2,2,,,,belgium,cyprus,2,"""belgium"": {""cyprus"":1.5,},"
Belgium,Denmark,3,3,,,,belgium,denmark,3,"""belgium"": {""denmark"":2.7,},"
Belgium,Estonia,1,1,,,,belgium,estonia,1,"""belgium"": {""estonia"":1.2,},"
Belgium,F.Y.R. Macedonia,0,0,,,,belgium,f.y.r. macedonia,0,"""belgium"": {""f.y.r. macedonia"":0,},"
Belgium,Finland,1,1,,,,belgium,finland,1,"""belgium"": {""finland"":1,},"
Belgium,France,3,3,,,,belgium,france,3,"""belgium"": {""france"":2.6,},"
Belgium,Georgia,2,2,,,,belgium,georgia,2,"""belgium"": {""georgia"":2,},"
Belgium,Germany,2,2,,,,belgium,germany,2,"""belgium"": {""germany"":2.4,},"
Belgium,Greece,5,5,,,,belgium,greece,5,"""belgium"": {""greece"":4.8,},"
